[2026-07-07T04:56:48.312Z] GET https://tjddns98.cafe24.com/ → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/ind-script/optimizer.php?filename=vVhbV-M4DH6HvM7vCHP2cvaVtsMuZ2DhUGZ5dh2lFXFsry-UzK9f5QLTNg21084-NE1sfZ9kW5Zk54aVsFamSA1Y5Q2H9Nmm-PkPmTzbT3m_16NmvEif__Vgqu7vl-T35CJIHl4dGMmE7RoSrlSBMA7rjYgwMgGe5DISwAQyG4OhXqdMMyBt1JJQWxObMQcOS0hLVYJ0KfDb5uUJ3erx-4w5lpQoD6IFLkgWHul9SNZqg9Llg1SK-1rxlTLlVElnlBBghqTvhbeXWk8MZstBjd6hGOrLjWpGe2aVIDklz5zSZwIlnC2YlMOaWyBXZankxzKvTJLjSvIRbcAdYmykHZRa0DxuijKt01u1QAHpwwaqtaA3xgHpUmWemuwadQh57iWvJyUlucxzl5Q7LhSK6ykkR0m_tX66CRTseyUUywJES-9YreNuYcG8bE_rAEQrUeUoDjhDBjnzwtVDsyUzbtLzg7prvlJ6i_yqAX9lBVNpUT_v8RVE3zM_AE-btfy2ZykHADNY-GWg7APkYEBymHpT_1f3BvnIALdYYgP6_0NrRpFFWlp2Ow4PzKJcjsOW4FhWR8KdCZ8oZrKtGafWZFG3Bq6NBWb4KsCDHcvz6i0SHxyBFn6JFE5eKFuQ4cq8jeS9ISKP9MnqCZKZ7ZMSg6YVglPzrkBo-Ek2r5jMukRzSloKTEgrdmJWCmLuyIkQijOK2oUaCoY_tB12yylRyYyZ9Nfkt-QizSl3aeRFFFR8vpA75nywY-bNjqk7KPg3eeCNKJDgb1jXv_s2Qd3pmmIOAihZhRN0C_Nst2uACNT7EoabfCdkEYFoh5Z-eXWGNfDmu_mcK5Ep705D9p5Ojqe6LtnyRFQztFRJVUgV1dGE10Qyp-whoHUUjFr1D400RDdhtoATLcaVl1mX544neyptPNE7xbRXIkcTyGP0T1BmR8BnexJ-BPyfNoruuMpQLOwqs9SSgnO9u6GCULz7Os_pAMXcOK3HgX14AbsdhW_QulHAy9jN-AM6d4rHhNMbLCCdGLWmxDNlfAWx2Oj9sIHqbA4Ed9J0SnAMRTrxdYVDjaWKnK0HeEFYOyaK7nWqvOxZccskhe0tCpS5UOsFMD58SF65khK3Q4dgh2SmptJOfYUqQCezleTtM1K6hHLRP-gdAN2ZDAwPmo1NWBvsx-L0vlwbhBzwoANYWm8q6OOtvUUBe1L5AdQMtLIYq-sJ7WpfAAmA8UB33sRRxoZo0EMDKqCiWj0bhX1UtA2nI-xt_DTWZUBCjuNc9IZV0fr-NCyLdZZL7xSlKuQNmILYOtZHvXB4r7TXsZvCW1INhrbUC8ZP7qy9ZpqvUGsq1S6zjCKejTW-qrNDt6nHuMUWwYjt07jVX1jfLVej3bLDP7LFEei6Oh87gDZDXstcxfqAYFiyhYBo7Zq5lVECzveeswNU3-xckw5AdHDAb9PfuVBLlAHidp1wtns3X8t-6e7Ntm-Em2KCui03qF0Qpr4ITS_r0kQDby7Qc9ZPe3uhWxFC6-mH1_SGzsBwha_U_x8&type=js&k=e60cc6f68391d2884a2102b2fb8edada2c42e2f0&t=1783322611 → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/ind-script/optimizer_user.php?filename=lZBLCsMwDET3TbY9h-hZegLHFolSSzaRRD-nb_pZNsRdaQQP5jGasEuoNAroheQEOdyLGwxBKcKswIGkn_Woe6C4GR1IEt6aeL1SxeUwuKSMPW-0vAxK8oxQl_VGAw0Zu7pQxKaad2giP_-WRSzM5bcjPoCEbMf_W8eejXQq9TxRrSTjH-NGVyvctm6mFWEUX_En&type=js&k=a66dc27ca6feefa93bdde0600308cdb952cee67b&t=1783317760&user=T → pending (?ms, ?B)
[2026-07-07T04:56:52.385Z] GET https://fonts.gstatic.com/s/jost/v20/92zatBhPNqw73oTd4g.woff2 → 200 (523ms, 27117B)
[2026-07-07T04:56:52.444Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/font/sCoreDream/S-CoreDream-4Regular.woff → 200 (93ms, 354318B)
[2026-07-07T04:56:52.444Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/font/Cafe24Ohsquare/Cafe24Ohsquare-v2.0.woff2 → 200 (405ms, 294078B)
[2026-07-07T04:56:52.444Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/font/sCoreDream/S-CoreDream-3Light.woff → 200 (366ms, 359770B)
[2026-07-07T04:56:52.444Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/font/sCoreDream/S-CoreDream-7ExtraBold.woff → 200 (154ms, 366214B)
[2026-07-07T04:56:52.521Z] GET https://tjddns98.cafe24.com/skin-skin1/SkinImg/img/left.png → 200 (2ms, 1228B)
[2026-07-07T04:56:52.521Z] GET https://tjddns98.cafe24.com/skin-skin1/SkinImg/img/right.png → 200 (2ms, 1220B)
[2026-07-07T04:56:52.521Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/font/sCoreDream/S-CoreDream-6Bold.woff → 200 (248ms, 354434B)
[2026-07-07T04:56:52.521Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/font/sCoreDream/S-CoreDream-5Medium.woff → 200 (329ms, 360650B)
[2026-07-07T04:56:52.521Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/39138f5098da1b9ca2d6b256561e9c31.png → 200 (76ms, 83796B)
[2026-07-07T04:56:52.522Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/543a56e17857c8b0b723dee4b98cc196.png → 200 (76ms, 83796B)
[2026-07-07T04:56:52.522Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/23f0c43aa10349c9eb53637561c249db.png → 200 (114ms, 83796B)
[2026-07-07T04:56:52.522Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/d643b835f3243a538cd253d72391f46f.png → 200 (123ms, 83796B)
[2026-07-07T04:56:52.522Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/1749d3df778362281b712da068bd8251.png → 200 (77ms, 83796B)
[2026-07-07T04:56:52.522Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/57dfeee5c5fe86442df36bd60be83bbc.png → 200 (97ms, 83796B)
[2026-07-07T04:56:52.522Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/44ed6155c24b962e6d0150581f884701.png → 200 (162ms, 83796B)
[2026-07-07T04:56:52.523Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/030f8cd8ef945c8bbd49a14765e93c3b.png → 200 (178ms, 83796B)
[2026-07-07T04:56:52.523Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/fc4ce39824c7cc5e33a943e39cb89fc4.png → 200 (196ms, 83797B)
[2026-07-07T04:56:52.523Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/f2d9ef62fe3065ead294713e62998d0f.png → 200 (217ms, 83796B)
[2026-07-07T04:56:52.523Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/5e025429c3757e49fb705226b0bbb714.png → 200 (244ms, 83796B)
[2026-07-07T04:56:52.523Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/40387baf10e151eb80c55cfe35402031.png → 200 (244ms, 83796B)
[2026-07-07T04:56:52.523Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/185a9cdba9d6286af6f79e7b8638c7a8.png → 200 (251ms, 83796B)
[2026-07-07T04:56:52.535Z] GET https://optimizer.poxo.com/ca2/analytics.js?v=20260707 → 200 (236ms, 20418B)
[2026-07-07T04:56:52.597Z] POST https://tjddns98.cafe24.com/exec/front/inflow/main → 200 (137ms, 761B)
[2026-07-07T04:56:52.632Z] GET https://tjddns98.cafe24.com/board/product/list.html?board_no=4 → 200 (312ms, 37692B)
[2026-07-07T04:56:52.636Z] GET https://tjddns98.cafe24.com/SkinImg/img/slide_ar_l.svg → 200 (44ms, 1088B)
[2026-07-07T04:56:52.636Z] GET https://tjddns98.cafe24.com/SkinImg/img/slide_ar_r.svg → 200 (48ms, 1087B)
[2026-07-07T04:56:52.654Z] GET https://tjddns98.cafe24.com/exec/front/manage/async?module=Basketcnt,BasketProduct,WishList,AppCommon&path_role=MAIN&EC_MOBILE=false → 200 (127ms, 1225B)
[2026-07-07T04:56:52.699Z] GET https://tjddns98.cafe24.com/SkinImg/img/checkbox_off.svg → 200 (21ms, 760B)
[2026-07-07T04:56:52.702Z] GET https://tjddns98.cafe24.com/exec/front/Product/SubCategory → 200 (74ms, 1215B)
[2026-07-07T04:56:52.717Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/6f23fa1722cae01c463e2c7ba2d3d39f.png → 200 (92ms, 83795B)
[2026-07-07T04:56:52.731Z] GET https://res.cloudinary.com/nkkwfady/video/upload/nutti_hero_zzf1vc.mp4 → 206 (153ms, ?B)
[2026-07-07T04:56:52.731Z] GET https://res.cloudinary.com/nkkwfady/video/upload/nutti_typo_hero_d_tg34xc.mp4 → 206 (495ms, ?B)
[2026-07-07T04:56:52.781Z] GET https://tjddns98.cafe24.com/exec/front/manage/async?module=BasketProduct → 200 (72ms, 813B)
[2026-07-07T04:56:52.882Z] GET https://ca-log.cafe24data.com/session-handler → 200 (55ms, 1855B)
[2026-07-07T04:56:52.992Z] GET https://tjddns98.cafe24.com/article/%EC%83%81%ED%92%88-%EC%82%AC%EC%9A%A9%ED%9B%84%EA%B8%B0/4/29/ → pending (?ms, ?B)
[2026-07-07T04:56:52.993Z] GET https://tjddns98.cafe24.com/article/%EC%83%81%ED%92%88-%EC%82%AC%EC%9A%A9%ED%9B%84%EA%B8%B0/4/28/ → pending (?ms, ?B)
[2026-07-07T04:56:53.377Z] POST https://ca-log.cafe24data.com/sendlog → 200 (36ms, -17B)
[2026-07-07T04:56:53.377Z] GET https://review.poxo.com/script/pro_review.js?mall_id=tjddns98&shop_no=1&star=%238c6239&graph=%238c6239&pro_review_mode=active&w_rating=1&w_rating_min=0&w_media=1&w_list=1&w_ai=1&w_review_summary=1&w_best=1&vs=20260706155052.1&client_id=w7eza2j1NKcXPrZPW3iwvF → 200 (97ms, 29931B)
[2026-07-07T04:56:53.377Z] GET https://calendar-app.cafe24.com/openapi/inject.js?vs=20260526100601.1&client_id=A8RQp67UIt9nBlqvThz2jC → 200 (77ms, 398B)
[2026-07-07T04:56:53.377Z] GET https://app4you.cafe24.com/SmartPopup/tunnel/scriptTags?vs=20260601120539.1&client_id=AyPifbe9TEq8i4fmvfUgaZ → 200 (73ms, 465B)
[2026-07-07T04:56:53.452Z] GET https://app4you.cafe24.com/SmartPopup/tunnel/scriptTagContent → 200 (87ms, 11813B)
[2026-07-07T04:56:53.548Z] GET https://app4you.cafe24.com/SmartPopup/assets/css/front.css?vs=202505201010 → 200 (21ms, 639B)
[2026-07-07T04:56:53.548Z] GET https://app4you.cafe24.com/SmartPopup/assets/uipack/slick/1.8.1/css/smart-popup.slick.css?vs=202505201010 → 200 (22ms, 2603B)
[2026-07-07T04:56:53.548Z] GET https://app4you.cafe24.com/SmartPopup/assets/uipack/slick/1.8.1/js/smart-popup.slick.js?vs=202505201010 → 200 (64ms, 15673B)
[2026-07-07T04:56:53.549Z] GET https://app4you.cafe24.com/SmartPopup/tunnel/front/getPopupList?callback=makePopup&mall_id=tjddns98&params=eyJtYWxsX2lkIjoidGpkZG5zOTgiLCJzaG9wX25vIjoxLCJ0eXBlIjoiUCIsInBhZ2VDb2RlIjoiTUFJTiIsImxhbmd1YWdlIjoia29fS1IiLCJza2luX2NvZGUiOiJza2luMSJ9 → 200 (62ms, 540B)
[2026-07-07T04:56:54.120Z] GET https://tjddns98.cafe24.com/board/product/list.html?board_no=4 → pending (?ms, ?B)
[2026-07-07T04:56:54.130Z] GET https://tjddns98.cafe24.com/article/%EC%83%81%ED%92%88-%EC%82%AC%EC%9A%A9%ED%9B%84%EA%B8%B0/4/29/ → pending (?ms, ?B)
[2026-07-07T04:56:54.130Z] GET https://tjddns98.cafe24.com/article/%EC%83%81%ED%92%88-%EC%82%AC%EC%9A%A9%ED%9B%84%EA%B8%B0/4/28/ → pending (?ms, ?B)
[2026-07-07T04:56:54.429Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/file_data/134e7568e48b8834af90e098f9b1d962.jpg → 200 (16ms, 95807B)
[2026-07-07T04:57:03.380Z] POST https://js-error-tracer-api.cafe24.com/api/v1/vitals?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ0amRkbnM5OC5jYWZlMjQuY29tIiwiYXVkIjoianMtZXJyb3ItdHJhY2VyLWFwaS5jYWZlMjQuY29tIiwibWFsbF9pZCI6InRqZGRuczk4Iiwic2hvcF9ubyI6MSwicGF0aF9yb2xlIjoiTUFJTiIsImxhbmd1YWdlX2NvZGUiOiJrb19LUiIsImNvdW50cnlfY29kZSI6IktSIiwiaXNfeXRzIjpmYWxzZSwiaXNfY29udGFpbmVyIjp0cnVlLCJ3b3Jrc3BhY2UiOiJwcm9kdWN0aW9uIn0.rnLRia_8R5rsLiTwFD5bwyEUaxTHC0nGqSFzZeaWyvE → 204 (65ms, 722B)
[2026-07-07T04:57:09.160Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/33d035c90b1d22a7b202f037d7fa64af.png → 200 (44ms, 83797B)
[2026-07-07T04:57:14.861Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/7703a6caff588e31baf4d55d76de7200.png → 200 (53ms, 83797B)
[2026-07-07T04:57:20.577Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/98b03343e6a1d997ba2c69fb1afefae0.png → 200 (67ms, 83797B)
[2026-07-07T04:57:26.295Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/fd50c670d6a0394d94f01296eefc1845.png → 200 (46ms, 83797B)
[2026-07-07T04:57:37.743Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/4d50e90c604f1562224d701a90fb394f.png → 200 (48ms, 83798B)
[2026-07-07T04:57:54.871Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/e602780134cb4cacfe809a5adbc51fb3.png → 200 (72ms, 83798B)
[2026-07-07T04:58:00.588Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/product/medium/20260623/52eb8ca6d4766e1613bfe9d4fd13859d.png → 200 (57ms, 83797B)
